,Strana,Počet_hlasů,Procento_hlasů,Počet_kandidátů,Počet_mandátů,Rok
0,Sdružení nezávislých,63539,10.72,45,5,2002
1,Unie svobody-Demokratická unie,10754,1.81,26,0,2002
2,Komunistická str.Čech a Moravy,166217,28.04,45,14,2002
3,Občanská demokratická strana,141026,23.79,45,11,2002
4,Republikáni Miroslava Sládka,674,0.11,7,0,2002
5,Strana za životní jistoty,417,0.07,2,0,2002
6,Nezáv.sdruž.sport.města Mostu,37546,6.33,45,3,2002
7,"Koalice KDU-ČSL, SZ",17436,2.94,45,0,2002
8,Str.pro otevřenou společnost,69002,11.64,45,5,2002
9,Česká str.sociálně demokrat.,84521,14.26,45,7,2002
10,Národně demokratická strana,1550,0.26,15,0,2002
11,VOLBA PRO MOST,34909,4.28,45,0,2006
12,České hnutí za národní jednotu,742,0.09,14,0,2006
13,Národní strana,120,0.01,1,0,2006
14,Občanská demokratická strana,162370,19.92,44,11,2006
15,Komunistická str.Čech a Moravy,129250,15.85,45,8,2006
16,SNK Evropští demokraté,42133,5.17,43,2,2006
17,Sdružení Mostečané Mostu,272009,33.36,45,18,2006
18,Strana zelených,39997,4.91,45,0,2006
19,Sdružení pro sport a zdraví,31939,3.92,45,0,2006
20,NEZ.DEMOKRATÉ(předs.V.Železný),5732,0.7000000000000001,45,0,2006
21,Česká str.sociálně demokrat.,96077,11.78,43,6,2006
22,Komunistická str.Čech a Moravy,82268,9.870000000000001,45,5,2010
23,TOP 09,41521,4.98,38,2,2010
24,Občanská demokratická strana,96905,11.620000000000001,45,6,2010
25,"""Občané městu, město občanům""",16954,2.0300000000000002,45,0,2010
26,Věci veřejné,28344,3.4,41,0,2010
27,Sdružení Mostečané Mostu,422891,50.71,45,26,2010
28,Česká str.sociálně demokrat.,106016,12.71,45,6,2010
29,Dělnic.str.sociální spravedl.,18923,2.27,45,0,2010
30,OK-Občanský Kontext,20095,2.41,45,0,2010
31,Toryové,9728,1.3900000000000001,45,0,2014
32,"""OMMO - hlas pro občana""",7818,1.12,45,0,2014
33,Sdružení Mostečané Mostu,131243,18.77,45,10,2014
34,Občanská demokratická strana,37919,5.42,45,3,2014
35,Koalice TOP09 a KDU-ČSL,17568,2.5100000000000002,44,0,2014
36,OR s podp.Inic.za MHD zdarma,19570,2.8000000000000003,45,0,2014
37,Komunistická str.Čech a Moravy,74140,10.6,45,5,2014
38,Severočeši Most,228600,32.7,45,18,2014
39,Česká str.sociálně demokrat.,49347,7.0600000000000005,45,3,2014
40,"DSZ, NK-sdružení DSZaNK",461,0.07,4,0,2014
41,"SZ, NK za Most",27237,3.9,45,0,2014
42,Mostečané Mostu,139,0.02,4,0,2014
43,DSSS-volím budouc.našich dětí,13688,1.96,45,0,2014
44,ANO 2011,81719,11.69,45,6,2014
45,Občanská demokratická strana,58284,8.52,45,4,2018
46,"Občané městu, město občanům",3154,0.46,20,0,2018
47,Piráti a Zelení pro Most,60698,8.88,45,4,2018
48,Sdružení Mostečané Mostu,110798,16.2,45,8,2018
49,ANO 2011,111512,16.31,45,9,2018
50,Hnutí za zrovnopráv. maminek,4724,0.6900000000000001,45,0,2018
51,Starost. a nezáv. s podp.Toryů,10025,1.47,45,0,2018
52,Otevřená radnice Most,17071,2.5,45,0,2018
53,Česká str.sociálně demokrat.,22531,3.29,45,0,2018
54,Svob.a př.dem.-T.Okamura (SPD),31227,4.57,44,0,2018
55,ProMOST,198970,29.1,45,16,2018
56,Komunistická str.Čech a Moravy,54833,8.02,45,4,2018
